,channel,type,term,value
0,0,S,1,0.0
1,0,S,2,0.003924097168086458
2,0,S,3,-0.00485154429964677
3,0,S,4,-0.003012388764184809
4,0,S,5,0.0006066786371923471
5,0,S,6,-0.002230695923737239
6,0,S,7,3.289135158613302e-05
7,0,S,8,-0.0008427292909008321
8,0,S,9,0.00018771698176767835
9,0,S,10,-0.0003680657686967198
10,0,T,4,0.001214735828322918
11,0,T,7,0.00021282728719067298
12,0,T,8,-6.181761893897e-05
13,2,S,1,0.0
14,2,S,2,0.01163570794595824
15,2,S,3,-0.002852454131155153
16,2,S,4,0.006469983477436008
17,2,S,5,0.0002603543459582609
18,2,S,6,0.0003787504067887898
19,2,S,7,0.0002353373215908835
20,2,S,8,8.458468102042965e-05
21,2,S,9,0.00021088828598394118
22,2,S,10,-0.0003263983884346377
23,2,T,4,0.0009373934574533839
24,2,T,7,-0.00015823128974338404
25,2,T,8,-0.00016287568875266763
26,,,,D:\20230421 tetraspeck\Run00017
